layer_idx,filter_idx,iterations,learning_rate,tv_reg,l2_reg,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,final_l2_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
36,30,500,0.02,1e-05,0.0,5248.0498046875,-5248.0498046875,1918.8565673828125,14.79248046875,0.0,3151.2772216796875,0.27592667589967895,-6.690794035658997,386.2891109507514,3.65831334233284,False
36,30,500,0.02,1e-05,1e-06,5244.447265625,-5244.447265625,1917.600830078125,14.771201133728027,79.13725280761719,3148.9302978515625,0.27543308659264304,-6.684687490295167,385.93670712846654,3.6575095546245575,False
36,30,500,0.02,1e-05,1e-05,5240.74365234375,-5240.74365234375,1915.701416015625,14.784896850585938,79.04277038574219,3147.1253814697266,0.2745114702421675,-6.682836186474729,385.829781745125,3.6547154426574706,False
36,30,500,0.02,1e-05,0.0001,5240.69140625,-5240.69140625,1915.870849609375,14.765410423278809,79.0772705078125,3146.896713256836,0.27391023424450406,-6.688128007490959,386.13557569437046,3.6531063175201415,False
36,30,500,0.02,0.0001,0.0,5246.50244140625,-5246.50244140625,1918.168701171875,14.771844863891602,0.0,3150.4164276123047,0.276195455847589,-6.6955177648972475,386.5626243334937,3.6584284675121306,False
36,30,500,0.02,0.0001,1e-06,5250.99755859375,-5250.99755859375,1920.115966796875,14.771745681762695,79.14915466308594,3152.9642791748047,0.27753009910131726,-6.698387002735371,386.7275552266782,3.662506481409073,False
36,30,500,0.02,0.0001,1e-05,5246.1533203125,-5246.1533203125,1918.2025146484375,14.77653694152832,79.16592407226562,3150.0326538085938,0.2759668214227707,-6.701245090178767,386.8929645226388,3.6579334461688995,False
36,30,500,0.02,0.0001,0.0001,5247.3212890625,-5247.3212890625,1918.4302978515625,14.774412155151367,79.06649780273438,3150.966094970703,0.278743076488676,-6.693844614609017,386.4660612093377,3.6655831146240234,False
36,30,500,0.02,0.0005,0.0,5243.7841796875,-5243.7841796875,1916.8948974609375,14.729028701782227,0.0,3148.9661865234375,0.27610746373536105,-6.68434324697839,385.9162373645922,3.6590691196918486,False
36,30,500,0.02,0.0005,1e-06,5247.7529296875,-5247.7529296875,1918.8265380859375,14.741107940673828,79.10769653320312,3151.0032958984375,0.2760655109620407,-6.69218118462605,386.3692243578438,3.659297963380814,False
36,30,500,0.02,0.0005,1e-05,5243.34619140625,-5243.34619140625,1916.726806640625,14.757917404174805,79.11106872558594,3148.6956939697266,0.27711849030234953,-6.684458669389097,385.92324774650103,3.6618256223201753,False
36,30,500,0.02,0.0005,0.0001,5248.1484375,-5248.1484375,1918.7994384765625,14.766660690307617,79.0509262084961,3151.418441772461,0.27627831736096653,-6.689675675943413,386.2254322624399,3.66017938375473,False
36,30,1000,0.005,0.0,0.0,2686.666748046875,-2686.666748046875,980.4927368164062,0.0,0.0,1528.2581787109375,0.26117956414917365,-1.6279956264348503,93.99131499730456,3.5589411234855652,False
36,30,1000,0.005,0.0,1e-06,2685.670166015625,-2685.670166015625,980.232666015625,0.0,22.649206161499023,1527.5216064453125,0.26020423825313294,-1.625998562988977,93.8760608386362,3.558001625537872,False
36,30,1000,0.005,0.0,1e-05,2686.05810546875,-2686.05810546875,980.9544677734375,0.0,22.656078338623047,1527.187515258789,0.261391735650078,-1.6201902809105873,93.5405659038884,3.5547538590431214,False
36,30,1000,0.005,0.0,0.0001,2686.49072265625,-2686.49072265625,980.8095092773438,0.0,22.637767791748047,1527.7630462646484,0.2618311841150813,-1.6218981234113372,93.63919950733798,3.559738918542862,False
36,30,1000,0.005,1e-05,0.0,2687.759765625,-2687.759765625,981.4797973632812,7.377666473388672,0.0,1528.364013671875,0.2618436487437122,-1.6275118907086443,93.96327766337546,3.5606600260734558,False
36,30,1000,0.005,1e-05,1e-06,2690.382080078125,-2690.382080078125,982.361083984375,7.374798774719238,22.666696548461914,1530.10498046875,0.2626288220027619,-1.6275068596685616,93.96310114486506,3.561919199228287,False
36,30,1000,0.005,1e-05,1e-05,2682.69580078125,-2682.69580078125,979.160400390625,7.381743431091309,22.662460327148438,1525.619155883789,0.25972460972227807,-1.6200848156579886,93.53449123431491,3.552502890825272,False
